Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1956,33.30,42.00,46.80,57.80,70.50,79.30,80.80,80.60,71.60,67.20,51.00,46.50
1957,31.90,43.50,48.30,63.10,74.50,82.30,84.10,82.90,76.60,59.60,50.90,43.40
1958,33.40,29.90,41.90,63.30,71.20,76.30,82.80,80.30,73.80,62.90,53.30,31.10
1959,34.40,42.10,47.70,63.20,76.80,80.60,84.40,86.20,80.80,64.40,49.00,41.80
1960,38.50,36.80,34.90,66.60,68.70,79.20,81.30,82.70,77.40,63.70,52.40,32.90
1961,30.40,42.20,49.80,52.50,67.50,78.10,82.20,82.60,80.80,67.00,50.50,38.80
1962,34.90,39.40,45.30,58.90,78.20,81.00,81.40,83.70,70.50,64.20,48.70,33.30
1963,31.80,31.60,51.10,62.10,71.50,80.50,83.70,79.10,74.80,73.20,52.30,28.50
1964,38.90,35.30,49.70,62.80,75.40,81.30,84.20,79.00,76.20,62.80,55.90,42.50
1965,35.30,39.90,42.80,60.20,78.00,79.10,83.20,82.00,77.10,60.30,51.60,44.30
1966,30.40,37.60,51.90,56.40,68.70,83.00,86.70,82.50,71.60,62.40,52.80,38.30
1967,41.90,35.20,49.30,63.20,65.50,84.30,81.20,78.60,73.00,63.40,43.90,42.60
1968,32.20,32.20,52.20,64.70,66.00,80.10,85.70,83.50,76.30,64.60,49.90,36.20
1969,35.10,38.30,44.30,65.40,74.20,80.80,82.80,81.70,74.10,65.00,46.90,32.60
1970,28.80,37.40,42.90,63.80,76.70,79.60,82.80,83.50,79.80,65.20,49.90,40.50
1971,32.80,39.40,43.40,59.20,69.20,82.90,81.70,81.10,77.60,70.10,49.20,47.80
1972,39.90,35.60,47.40,60.50,74.00,74.30,81.20,81.20,76.10,58.60,45.60,43.90
1973,39.50,37.70,57.70,58.50,66.30,82.30,83.70,83.40,77.40,66.20,52.10,40.40
1974,41.60,39.60,51.10,63.80,70.60,76.00,83.60,81.60,70.80,62.20,52.10,38.40
1975,40.10,39.40,44.90,55.30,75.60,78.60,84.50,82.60,69.60,65.50,56.60,41.10
1976,32.20,48.40,56.50,64.00,69.30,81.60,79.40,78.90,72.70,56.80,43.30,34.80
1977,21.50,37.30,56.00,64.10,78.30,76.70,85.60,81.20,76.00,61.10,52.30,38.40
1978,28.10,28.30,43.30,60.40,69.50,80.00,81.30,82.10,77.60,61.60,52.20,41.60
1979,29.60,27.90,54.30,59.80,70.90,79.00,81.40,79.90,75.10,60.50,54.00,42.80
1980,34.60,33.30,45.60,59.80,72.00,77.20,84.60,83.10,78.50,60.00,47.70,37.90
1981,29.80,42.20,44.90,63.80,71.50,80.20,82.70,80.70,72.60,61.40,50.20,35.70
1982,30.80,38.60,49.80,59.10,78.20,75.60,84.60,79.20,73.70,65.60,53.40,48.10
1983,36.60,42.10,50.20,57.10,68.90,80.80,85.30,83.90,76.70,64.00,52.30,32.70
1984,31.20,46.70,41.50,59.70,66.60,82.60,80.20,81.70,73.00,67.70,50.00,48.30
