36003021895  23.30  19.30  34.80  50.50  59.90  71.60  68.80  71.10  67.80  46.10  41.60  33.70   
36003021896  28.40  29.40  30.90  55.00  66.40  68.00  72.20  70.10  62.30  48.20  45.40  31.70   
36003021897  25.70  32.00  40.10  48.30  56.30  65.70  74.30  68.00  63.80  54.80  41.40  33.00   
36003021898  31.60  28.70  45.00  45.60  61.20  71.20  75.30  72.60  66.80  53.80  39.10  29.60   
36003021899  27.30  22.00  38.00  51.90  63.20  71.00  73.00  72.20  63.80  55.90  42.80  30.70   
36003021900  30.40  26.30  32.40  48.80  62.30  70.70  74.00  76.10  69.60  59.50  42.70  31.40   
36003021901  28.90  21.00  39.40  46.10  60.60  70.00  77.40  72.60  63.80  52.60  37.40  29.80   
36003021902  26.50  23.40  41.40  47.10  62.40  65.80  73.30  67.80  63.30  54.40  48.30  30.50   
36003021903  28.20  31.20  48.10  49.70  63.80  64.10  72.00  69.90  64.40  53.60  36.80  24.50   
36003021904  21.70  24.50  39.70  44.90  61.00  68.90  71.10  68.10  64.80  52.10  39.70  28.60   
36003021905  22.60  22.10  42.10  48.20  62.00  69.20  73.10  70.40  64.30  52.70  39.40  33.30   
36003021906  35.60  28.50  32.90  50.70  60.90  69.60  72.20  74.40  68.00  53.00  42.30  32.40   
36003021907  32.10  26.40  44.90  43.70  55.90  64.70  71.80  67.70  65.00  48.10  39.20  33.40   
36003021908  27.80  27.00  42.90  50.30  61.80  69.00  74.00  69.60  66.60  54.40  41.00  33.00   
36003021909  33.80  35.70  36.20  49.50  59.70  69.90  70.20  70.40  63.10  48.00  47.70  25.90   
36003021910  27.50  26.60  46.90  51.20  57.50  65.90  73.20  71.20  66.30  55.40  35.80  24.40   
36003021911  33.40  34.30  36.50  47.30  66.40  70.20  74.20  73.40  67.10  52.90  38.60  36.80   
36003021912  19.10  23.60  35.20  52.70  62.60  66.70  72.80  68.20  67.30  53.40  42.60  34.80   
36003021913  37.30  28.00  42.30  50.40  59.90  68.90  72.80  71.70  62.70  54.40  42.50  33.90   
36003021914  32.10  22.10  34.20  48.80  60.90  70.30  72.20  72.80  62.10  56.80  40.60  27.90   
36003021915  27.00  35.50  32.10  53.40  57.80  66.20  71.50  68.20  66.30  54.30  43.30  29.90   
36003021916  35.40  26.40  32.80  48.00  62.70  64.30  75.50  72.80  63.10  53.00  42.50  30.30   
36003021917  27.80  26.10  39.00  48.60  54.00  67.00  72.40  70.90  60.50  47.20  36.70  21.80   
36003021918  15.60  31.10  42.80  48.40  66.40  67.40  70.90  75.50  58.20  55.70  41.10  38.20   
